event names,instance,YYY)-rt-st,link,
american folk blues festival,2006,DH,https://en.m.wikipedia.org/wiki/American_Folk_Blues_Festival,Raj
langerado,2009,DH,https://en.wikipedia.org/wiki/Langerado,Raj
pacific cup,2010,DH,,Hab
texas book festival,2009,2009-10-31,http://cynthialeitichsmith.blogspot.in/2009/11/texas-book-festival-2009.html,Hab
winterfest,2008,2008-12-30,https://www.setlist.fm/festival/2008/winterfest-2008-13d6c9e9.html,Hab
wangaratta festival of jazz,2009,2009-10-30,http://abcjazz.net.au/events/wangaratta-festival-of-jazz,Hab
voodoo experience,2009,2009-10-30,https://en.wikipedia.org/wiki/Voodoo_Experience#2009,Hab
newport folk festival,2010,2010-07-30,https://livemusicblog.com/2010/03/24/newport-folk-festival-2010-lineup-levon-helm-band-john-prine-andrew-bird-avett-brothers-yim-yames/,Raj
stagecoach festival,2011,2011-04-30,https://en.wikipedia.org/wiki/Stagecoach_Festival,Hab
comiket,2012,2012-12-29,https://fanlore.org/wiki/Comiket,Hab
marine corps marathon,2006,2006-10-29,http://www.marathonguide.com/results/browse.cfm?MIDD=41061029,Raj
detroit free press marathon,2006,2006-10-29,http://www.marathonguide.com/results/browse.cfm?MIDD=40061029,Hab
san francisco marathon,2012,2012-07-29,http://www.marathonguide.com/results/browse.cfm?MIDD=521120729,Raj
wacken open air,2009,2009-07-29,https://en.wikipedia.org/wiki/Wacken_Open_Air,Hab
summerfest,2011,2011-06-29,http://archive.jsonline.com/entertainment/festivals/124496524.html,Raj
anime expo,2007,2007-06-29,https://en.wikipedia.org/wiki/Anime_Expo,Raj
summerfest,2006,2006-06-29,http://www.songkick.com/festivals/1368-summerfest/id/517961-summerfest-2006,Raj
live at leeds,2011,2011-04-29,http://www.efestivals.co.uk/festivals/liveatleeds/2011,Hab
navratri,2011,2011-09-28,http://www.when-is.com/navaratri-2011.asp,Hab
the bamboozle,2008,2008-03-28,https://en.wikipedia.org/wiki/The_Bamboozle#2008,Hab
new zealand open,2010,2010-01-28,https://www.foxsports.com/golf/leaderboard?association=4&season=2010&eventid=2221,Raj
ohio state fair,2011,2011-07-27,https://www.setlist.fm/festival/2011/ohio-state-fair-2011-63d65eaf.html,Hab
san francisco pride,2009,2009-06-27,https://en.wikipedia.org/wiki/San_Francisco_Pride,Raj
drake relays,2011,2011-04-27,http://www.flotrack.org/event/238690-2011-drake-relays,Raj
pen world voices,2009,2009-04-27,http://www.iicnewyork.esteri.it/iic_newyork/en/gli_eventi/calendario/pen-world-voices-festival-2009.html,Hab
taipei international book exhibition,2010,2010-01-27,http://www.finlit.fi/fili/en/events/taipei-international-book-exhibition-2/,Raj
rugby world cup,2008,2008-10-26,/wiki/2008_Rugby_League_World_Cup,Raj
melbourne fringe festival,2007,2007-09-26,http://sometimesmelbourne.blogspot.in/2009/10/melbourne-fringe-2007.html,Raj
newport folk festival,2012,2012-07-26,https://www.setlist.fm/festival/2012/newport-folk-festival-2012-73d6963d.html,Hab
eaa airventure oshkosh,2010,2010-07-26,https://www.faa.gov/news/updates/media/forum_schedule.pdf,Raj
macworld/iworld,2012,2012-01-26,https://en.wikipedia.org/wiki/Macworld/iWorld#2012,Hab
dublin marathon,2010,2010-10-25,http://www.marathonguide.com/results/browse.cfm?MIDD=568101025,Raj
mobile world congress,2013,2013-02-25,Google,Raj
world pastry cup,2009,2009-01-25,https://www.google.co.in/url?sa=t&source=web&rct=j&url=http://www.rosenshinglecreek.com/wp-content/themes/shinglecreek/images/pdfs/articles-davidRamirez/2009_worldPastryCup.pdf&ved=0ahUKEwjzwumCpuHVAhXKL48KHa-rC9cQFgiFATAX&usg=AFQjCNE4pG2y23_lKZACgJ96_bE3e9C_XA,Raj
a-league,2007,2007-10-24,https://en.wikipedia.org/wiki/2007%E2%80%9308_A-League,Hab
capitol hill block party,2009,2009-07-24,https://www.setlist.fm/festival/2009/capitol-hill-block-party-2009-63d6b27b.html,Raj
philadelphia marathon,2008,2008-11-23,http://www.marathonguide.com/results/browse.cfm?MIDD=479081123,Hab
time festival,2010,2010-07-23,https://en.wikipedia.org/wiki/Time_Festival#TIME_Festival_2010,Hab
the jersey international,2009,2009-03-23,https://en.wikipedia.org/wiki/2009_The_Caversham_International,Raj
pycon,2007,2007-02-23,http://python.net/~goodger/projects/pycon/#id7,Hab
midpoint music festival,2011,2011-09-22,https://consequenceofsound.net/festival/midpoint-music-festival-2011/,Raj
truck festival,2011,2011-07-22,https://www.setlist.fm/festival/2011/truck-festival-2011-23d6a0bf.html,Hab
canal street,2009,2009-07-22,"https://en.wikipedia.org/wiki/Canal_Street_(Arendal,_Norway)#2009_.28July_22_-_26.29",Hab
anime boston,2009,2009-05-22,https://en.wikipedia.org/wiki/Anime_Boston,Hab
earth day,2008,2008-04-22,Google,Raj
conexpo-con/agg,2011,2011-03-22,https://nbmcw.com/event-reports/23365-conexpo-conagg-2011-records-resounding-success.html,Raj
tokyo international anime fair,2007,2007-03-22,https://en.wikipedia.org/wiki/Tokyo_International_Anime_Fair,Raj
u.s. figure skating championships,2011,2011-01-22,https://en.wikipedia.org/wiki/2011_U.S._Figure_Skating_Championships,Raj
monterey jazz festival,2012,2012-09-21,http://www.montereyjazzfestival.org/press/040412,Hab
trofeo melinda,2010,2010-08-21,https://it.wikipedia.org/wiki/Trofeo_Melinda_2010,Raj
youth conference,2006,2006-07-21,http://www.sproutedalmonds.com/yinfo.htm,Hab
fire festival,2012,2012-07-20,https://en.wikipedia.org/wiki/Fire_Festival#2012,Hab
pro tour,2009,2009-01-20,https://en.wikipedia.org/wiki/2009_UCI_ProTour,Raj
worldcon,2015,2015-10-19,https://en.wikipedia.org/wiki/73rd_World_Science_Fiction_Convention,Hab
international solid-state circuits conference,2012,2012-02-19,http://www.ieee.org/conferences_events/conferences/conferencedetails/index.html?Conf_ID=10053,Hab
international conference on web services,2006,2006-09-18,http://dblp.org/db/conf/icws/index,Raj
fifa u-17 world cup,2007,2007-08-18,Google,Raj
avn adult entertainment expo,2012,2012-01-18,https://en.wikipedia.org/wiki/AVN_Adult_Entertainment_Expo,Hab
world film festival,2007,2007-01-18,https://en.wikipedia.org/wiki/2007_Sundance_Film_Festival,Hab
american dance festival,2010,2010-06-17,https://www.indyweek.com/indyweek/american-dance-festivals-2010-lineup/Content?oid=1346748,Raj
international congress on industrial and applied mathematics,2007,2007-07-16,https://searchworks.stanford.edu/view/9141194,Raj
boston book festival,2011,2011-10-15,https://en.wikipedia.org/wiki/Boston_Book_Festival#2011,Raj
european conference on wireless sensor networks,2012,2012-02-15,http://ewsn12.disi.unitn.it/,Hab
mumbai marathon,2012,2012-01-15,http://travel.cnn.com/mumbai/play/mumbai-marathon-registration-open-845135/,Raj
marscon,2010,2010-01-15,"https://en.wikipedia.org/wiki/MarsCon_(Williamsburg,_Virginia)",Hab
licensing international expo,2011,2011-06-14,http://www.licensingexpo.com/licensing-expo/events/licensing-international-expo-2011,Hab
international conference on machine learning,2009,2009-06-14,http://www.machinelearning.org/archive/icml2009/,Hab
london book fair,2008,2008-04-14,https://www.englishpen.org/event/london-book-fair-2008/,Hab
asian football confederation,2010,2010-11-13,https://en.wikipedia.org/wiki/2010_AFC_Champions_League,Hab
fscons,2009,2009-11-13,https://wiki.creativecommons.org/wiki/FSCONS_2009,Raj
premier league,2011,2011-10-13,https://en.wikipedia.org/wiki/2011%E2%80%9312_Premier_League,Hab
the vintage festival,2012,2012-07-13,https://www.thefestivalcalendar.co.uk/festivals/The_Vintage_Festival_2012,Hab
global gaming expo,2007,2007-06-13,http://www.gamingmeets.com/event/global-gaming-expo-g2e-asia-2007/,Hab
triumph hurdle,2009,2009-03-13,http://news.bbc.co.uk/sport1/hi/other_sports/horse_racing/7905338.stm,Raj
international conference on information systems,2010,2010-12-12,http://www.proceedings.com/10704.html,Raj
summertime ball,2011,2011-06-12,https://en.m.wikipedia.org/wiki/Summertime_Ball,Raj
electronica,2008,2008-11-11,http://www.suntan.com.hk/news/2008-Electronics.html,Raj
iowa state fair,2011,2011-07-11,https://www.iowastatefair.org/media/news-releases/great-seats-available-for-2011-iowa-state-fair-grandstand-shows/,Hab
national hardware show,2011,2011-05-10,https://en.wikipedia.org/wiki/National_Hardware_Show,Raj
conference on human factors in computing systems,2010,2010-04-10,http://www.chi2010.org/,Raj
nike hoop summit,2010,2010-04-10,http://hallpassnetwork.com/2010/01/2010-nike-hoop-summit-dates/,Hab
mayhem festival,2011,2011-07-09,Google,Raj
international symposium on computer architecture,2007,2007-06-09,http://www.ieee.org/conferences_events/conferences/conferencedetails/index.html?Conf_ID=13070,Raj
san diego county fair,2012,2012-06-08,http://www.nbcsandiego.com/blogs/sounddiego/Del-Mar--142500625.html,Raj
life is good festival,2011,2011-06-08,https://outdoorindustry.org/press-release/2011-life-is-good-festival-line-up-announcedtwo-day-fundraising-festival-hopes-to-raise-1-million-for-kids-facing-life-threatening-challenges/,Hab
california international marathon,2008,2008-12-07,http://www.marathonguide.com/results/browse.cfm?MIDD=687081207,Hab
windsor international film festival,2008,2008-11-07,Google,Raj
cavendish beach music festival,2010,2010-07-07,http://www.songkick.com/festivals/79281-cavendish-beach-music/id/8300566-cavendish-beach-music-festival-2010,Raj
afc champions league,2007,2007-05-07,https://en.wikipedia.org/wiki/2007_AFC_Champions_League,Hab
dublin fringe festival,2009,2009-09-06,https://www.efestivals.co.uk/festivals/dublinfringe/2009,Hab
concacaf,2011,2011-06-05,Google,Raj
fosdem,2011,2011-02-05,https://wiki.mozilla.org/Fosdem:2011,Raj
london triathlon,2012,2012-10-04,https://en.wikipedia.org/wiki/Triathlon_at_the_2012_Summer_Olympics,Hab
waterfront blues festival,2012,2012-07-04,http://www.waterfrontbluesfest.com/news/news-release-archive/2012-cruises-and-after-hours-concerts,Hab
americade,2007,2007-06-04,https://en.wikipedia.org/wiki/Americade - article does not explicitly give starting date. says first full week of june. and the last two years it has started on the first monday in june.,Raj
national hardware show,2010,2010-05-04,https://en.m.wikipedia.org/wiki/National_Hardware_Show,Raj
philadelphia flower show,2012,2012-03-04,http://www.uwishunu.com/2012/02/the-2012-philadelphia-flower-show-kicks-off-this-sunday-march-4-your-complete-guide-to-how-to-experience-islands-of-aloha-at-the-pennsylvania-convention-center/,Raj
european congress of radiology,2010,2010-03-04,https://ec.europa.eu/digital-single-market/en/news/european-congress-radiology-ecr-2010-call-abstracts,Raj
seoul music awards,2010,2010-02-03,https://en.wikipedia.org/wiki/Seoul_Music_Awards,Hab
essen motor show,2006,2006-12-01,https://www.fisita.com/events/diary/essen-motor-show,Hab
adelaide festival,2013,2013-03-01,http://www.adelaidefestival.com.au/2013/music,Raj
league cup,2009,2009-03-01,"Google, https://en.wikipedia.org/wiki/2009_Football_League_Cup_Final",Raj
lost at sea,2009,2009-01-01,http://www.cruisejunkie.com/events2009.html,Hab
