event name,instance,start date (DD-MM-YYYY),link,
asia cup,2006,DH,,Din
world's fair,2011,DH,,Din
super tuesday,2006,DH,,Din
world of women's cinema - wow film festival,2012,DH,,Din
gay games,2007,DH,https://en.wikipedia.org/wiki/2006_Gay_Games,Din
music midtown,2011,DH,https://en.wikipedia.org/wiki/Music_Midtown,Din
sun bowl,2009,2009-12-31,https://en.wikipedia.org/wiki/2009_Sun_Bowl,Din
cmj music marathon,2006,2010-10-31,http://www.songkick.com/festivals/31661-cmj-music-marathon/id/766082-cmj-music-marathon-2006,San
national football league draft,2006,2006-04-29,https://en.wikipedia.org/wiki/2006_NFL_Draft,San
shell houston open,2012,2012-03-29,http://www.pga.com/news/local-knowledge/2012-shell-houston-open,San
earth hour,2008,2008-03-29,https://en.wikipedia.org/wiki/Earth_Hour#2008,Din
vivid sydney,2011,2011-05-27,http://www.multivu.com/players/English/50345-Vivid-Sydney-2011/,San
indycar series,2011,2011-03-27,https://en.wikipedia.org/wiki/2011_IndyCar_Series,San
malaysian open,2012,2012-02-27,https://en.wikipedia.org/wiki/2012_Malaysian_Open,San
stanford classic,2011,2011-07-26,https://en.wikipedia.org/wiki/2011_Bank_of_the_West_Classic,Din
scripps national spelling bee,2009,2009-05-26,https://en.wikipedia.org/wiki/82nd_Scripps_National_Spelling_Bee,San
vivid sydney,2009,2009-05-26,http://www.digitaljournal.com/article/273728,San
creamfields,2007,2007-10-25,https://www.residentadvisor.net/event.aspx?21625,San
berlin marathon,2011,2011-09-25,https://en.wikipedia.org/wiki/2011_Berlin_Marathon,San
nba draft,2009,2009-06-25,https://en.wikipedia.org/wiki/2009_NBA_draft,Din
national cherry blossom festival,2006,2006-03-25,http://www.us.emb-japan.go.jp/jicc/japan-now/EJN_vol2_no6.htm,San
creamfields,2012,2012-08-24,https://www.list.co.uk/article/40838-creamfields-2012-line-up-announced/,Din
indianapolis 500,2009,2009-05-24,https://en.wikipedia.org/wiki/2009_Indianapolis_500,San
poinsettia bowl,2010,2010-12-23,https://en.wikipedia.org/wiki/2010_Poinsettia_Bowl,San
international semantic web conference,2011,2011-10-23,http://iswc2011.semanticweb.org/,Din
folsom street fair,2012,2012-09-23,http://sanfrancisco.eventful.com/events/folsom-street-fair-2012-/E0-001-051248254-8,Din
gma dove awards ceremony,2008,2008-04-23,https://en.wikipedia.org/wiki/39th_GMA_Dove_Awards,San
las vegas bowl,2009,2009-12-22,https://en.wikipedia.org/wiki/2009_Maaco_Bowl_Las_Vegas,San
v festival,2009,2009-10-22,https://en.wikipedia.org/wiki/V_Festival#V2009,Din
splendour in the grass,2006,2006-07-22,https://www.setlist.fm/festival/2006/splendour-in-the-grass-2006-7bd6bea0.html,San
aruba international film festival,2012,2012-06-22,http://news.visitaruba.com/news/2012-aruba-international-film-festival-lineup-revealed/,San
anime festival asia,2009,2009-11-21,http://www.greatdeals.com.sg/2009/11/18/anime-festival-asia-2009-afa09-nov-2009,Din
australian film festival,2006,2006-10-21,https://en.wikipedia.org/wiki/Australian_International_Film_Festival,Din
gma dove awards ceremony,2010,2010-04-21,https://en.wikipedia.org/wiki/41st_GMA_Dove_Awards,Din
nba playoffs,2007,2007-04-21,https://en.wikipedia.org/wiki/2006%E2%80%9307_NBA_season,Din
new york international auto show,2008,2008-03-21,https://en.wikipedia.org/wiki/New_York_International_Auto_Show#2008,Din
noise pop festival,2012,2012-02-21,http://2012.noisepop.com/,Din
cmj music marathon,2009,2009-10-20,https://www.last.fm/festival/880317+CMJ+Music+Marathon+&+Film+Festival+2009,Din
national cherry blossom festival,2012,2012-03-20,http://www.nationalcherryblossomfestival.org/about/2012-centennial/,San
film comment selects,2009,2009-02-20,http://filmref.com/notes/archives/2009/01/film_comment_selects_2009_line.html,San
new mexico bowl,2009,2009-12-19,https://en.wikipedia.org/wiki/2009_New_Mexico_Bowl,San
famous idaho potato bowl,2010,2010-12-18,https://en.wikipedia.org/wiki/Famous_Idaho_Potato_Bowl,Din
v festival,2007,2007-10-18,http://www.nme.com/news/music/v-festival-51-1337847,Din
fida animation festival,2009,2009-08-18,http://explorarm.com/festival-de-animacion-fida-2009/,Din
indian premier league,2009,2009-04-18,https://en.wikipedia.org/wiki/2009_Indian_Premier_League,San
new mexico bowl,2011,2011-12-17,https://en.wikipedia.org/wiki/2011_New_Mexico_Bowl,San
waterloo festival for animated cinema,2011,2011-11-17,https://www.ticketscene.ca/events/5392/,San
giscience,2009,2009-11-17,http://www.tandfonline.com/doi/pdf/10.1080/19475680903250715,San
national invitation tournament,2009,2009-03-17,https://en.wikipedia.org/wiki/2009_National_Invitation_Tournament,San
acm symposium on user interface software and technology,2011,2011-10-16,https://uist.acm.org/uist2011/,San
lo nuestro awards,2012,2012-02-16,https://en.wikipedia.org/wiki/Lo_Nuestro_Awards,Din
the proms,2011,2011-07-15,https://en.wikipedia.org/wiki/The_Proms#2011_season,Din
